thornhill_tip_label,taxon,taxon_sp
Eucalyptus_andrewsii_subsp_andrewsii_8410679,Eucalyptus_andrewsii_andrewsii,Eucalyptus_andrewsii
Eucalyptus_boliviana_518876,Eucalyptus_boliviana,Eucalyptus_boliviana
Eucalyptus_pilularis_482,Eucalyptus_pilularis,Eucalyptus_pilularis
Eucalyptus_pyrocarpa_630205,Eucalyptus_pyrocarpa,Eucalyptus_pyrocarpa
Eucalyptus_caliginosa_298,Eucalyptus_caliginosa,Eucalyptus_caliginosa
Eucalyptus_luehmanniana_8300316,Eucalyptus_luehmanniana,Eucalyptus_luehmanniana
Eucalyptus_consideniana_219,Eucalyptus_consideniana,Eucalyptus_consideniana
Eucalyptus_piperita_subsp_piperita_ANBG_8411654,Eucalyptus_piperita_piperita,Eucalyptus_piperita
Eucalyptus_guilfoylei_MC_10953,Eucalyptus_guilfoylei,Eucalyptus_guilfoylei
Eucalyptus_microcorys_ANBG_491154,Eucalyptus_microcorys,Eucalyptus_microcorys
Eucalyptus_dorotoxylon_719,Eucalyptus_dorotoxylon,Eucalyptus_dorotoxylon
Eucalyptus_decurva_MC_10965,Eucalyptus_decurva,Eucalyptus_decurva
Eucalyptus_rhomboidea_476,Eucalyptus_rhomboidea,Eucalyptus_rhomboidea
Eucalyptus_pachycalyx_subsp_pachycalyx_305,Eucalyptus_pachycalyx_pachycalyx,Eucalyptus_pachycalyx
Eucalyptus_squamosa_629,Eucalyptus_squamosa,Eucalyptus_squamosa
Eucalyptus_youngiana_198,Eucalyptus_youngiana,Eucalyptus_youngiana
Eucalyptus_glomerosa_538,Eucalyptus_glomerosa,Eucalyptus_glomerosa
Eucalyptus_rosacea_645,Eucalyptus_rosacea,Eucalyptus_rosacea
Eucalyptus_sessilis_549,Eucalyptus_sessilis,Eucalyptus_sessilis
Eucalyptus_minniritchi_263,Eucalyptus_minniritchi,Eucalyptus_minniritchi
Eucalyptus_rameliana_648,Eucalyptus_rameliana,Eucalyptus_rameliana
Eucalyptus_pachyphylla_ANBG_8503938,Eucalyptus_pachyphylla,Eucalyptus_pachyphylla
Eucalyptus_educta_CANB_461013,Eucalyptus_educta,Eucalyptus_educta
Eucalyptus_kingsmillii_subsp_kingsmillii_Mt_Annan_866008,Eucalyptus_kingsmillii_kingsmillii,Eucalyptus_kingsmillii
Eucalyptus_impensa_643,Eucalyptus_impensa,Eucalyptus_impensa
Eucalyptus_rhodantha_374,Eucalyptus_rhodantha,Eucalyptus_rhodantha
Eucalyptus_macrocarpa_subsp_macrocarpa_60,Eucalyptus_macrocarpa_macrocarpa,Eucalyptus_macrocarpa
Eucalyptus_drummondii_subsp_drummondii_352,Eucalyptus_drummondii_drummondii,Eucalyptus_drummondii
Eucalyptus_crucis_subsp_crucis_45,Eucalyptus_crucis_crucis,Eucalyptus_crucis
Eucalyptus_orbifolia_472,Eucalyptus_orbifolia,Eucalyptus_orbifolia
Eucalyptus_carnabyi_CANB_632591,Eucalyptus_carnabyi,Eucalyptus_carnabyi
Eucalyptus_leptopoda_subsp_leptopoda_CANB_519232,Eucalyptus_leptopoda_leptopoda,Eucalyptus_leptopoda
Eucalyptus_synandra_CANB_794049,Eucalyptus_synandra,Eucalyptus_synandra
Eucalyptus_burracoppinensis_CANB_794037,Eucalyptus_burracoppinensis,Eucalyptus_burracoppinensis
Eucalyptus_caesia_subsp_caesia_52,Eucalyptus_caesia_caesia,Eucalyptus_caesia
Eucalyptus_oldfieldii_MC_10775,Eucalyptus_oldfieldii,Eucalyptus_oldfieldii
Eucalyptus_ewartiana_463,Eucalyptus_ewartiana,Eucalyptus_ewartiana
Eucalyptus_oxymitra_278,Eucalyptus_oxymitra,Eucalyptus_oxymitra
Eucalyptus_pyriformis_268,Eucalyptus_pyriformis,Eucalyptus_pyriformis
Eucalyptus_lanepoolei_434,Eucalyptus_lanepoolei,Eucalyptus_lanepoolei
Eucalyptus_diversicolor_ANBG_7901541,Eucalyptus_diversicolor,Eucalyptus_diversicolor
Eucalyptus_bakeri_567,Eucalyptus_bakeri,Eucalyptus_bakeri
Eucalyptus_cneorifolia_195,Eucalyptus_cneorifolia,Eucalyptus_cneorifolia
Eucalyptus_balanopelex_AHT_E22,Eucalyptus_balanopelex,Eucalyptus_balanopelex
Eucalyptus_recta_751,Eucalyptus_recta,Eucalyptus_recta
Eucalyptus_rugulata_42,Eucalyptus_rugulata,Eucalyptus_rugulata
Eucalyptus_balanites_CANB_687715,Eucalyptus_balanites,Eucalyptus_balanites
Eucalyptus_decipiens_subsp_decipens_72,Eucalyptus_decipiens_decipens,Eucalyptus_decipiens
Eucalyptus_communalis_502,Eucalyptus_communalis,Eucalyptus_communalis
Eucalyptus_dolichocera_710,Eucalyptus_dolichocera,Eucalyptus_dolichocera
Eucalyptus_kochii_subsp_kochii_657,Eucalyptus_kochii_kochii,Eucalyptus_kochii
Eucalyptus_moderata_274,Eucalyptus_moderata,Eucalyptus_moderata
Eucalyptus_ultima_697,Eucalyptus_ultima,Eucalyptus_ultima
Eucalyptus_mannensis_subsp_vespertina_321,Eucalyptus_mannensis_vespertina,Eucalyptus_mannensis
Eucalyptus_jutsonii_subsp_jutsonii_187,Eucalyptus_jutsonii_jutsonii,Eucalyptus_jutsonii
Eucalyptus_misella_CANB_794329,Eucalyptus_misella,Eucalyptus_misella
Eucalyptus_quaerenda_CANB_794294,Eucalyptus_quaerenda,Eucalyptus_quaerenda
Eucalyptus_angustissima_CANB_794337,Eucalyptus_angustissima,Eucalyptus_angustissima
Eucalyptus_foliosa_CANB_794339,Eucalyptus_foliosa,Eucalyptus_foliosa
Eucalyptus_salmonophloia_CANB_564460,Eucalyptus_salmonophloia,Eucalyptus_salmonophloia
Eucalyptus_balladoniensis_subsp_balladoniensis_CANB_586833,Eucalyptus_balladoniensis_balladoniensis,Eucalyptus_balladoniensis
Eucalyptus_delicata_514,Eucalyptus_delicata,Eucalyptus_delicata
Eucalyptus_longicornis_491,Eucalyptus_longicornis,Eucalyptus_longicornis
Eucalyptus_brockwayi_474,Eucalyptus_brockwayi,Eucalyptus_brockwayi
Eucalyptus_petrensis_456210,Eucalyptus_petrensis,Eucalyptus_petrensis
Eucalyptus_argyphea_59,Eucalyptus_argyphea,Eucalyptus_argyphea
Eucalyptus_ornata_583,Eucalyptus_ornata,Eucalyptus_ornata
Eucalyptus_purpurata_83,Eucalyptus_purpurata,Eucalyptus_purpurata
Eucalyptus_goniantha_subsp_goniantha_286,Eucalyptus_goniantha_goniantha,Eucalyptus_goniantha
Eucalyptus_falcata_CANB_630597,Eucalyptus_falcata,Eucalyptus_falcata
Eucalyptus_kessellii_subsp_kessellii_343,Eucalyptus_kessellii_kessellii,Eucalyptus_kessellii
Eucalyptus_aspersa_297,Eucalyptus_aspersa,Eucalyptus_aspersa
Eucalyptus_oleosa_subsp_oleosa_58,Eucalyptus_oleosa_oleosa,Eucalyptus_oleosa
Eucalyptus_luculenta_705,Eucalyptus_luculenta,Eucalyptus_luculenta
Eucalyptus_micranthera_334,Eucalyptus_micranthera,Eucalyptus_micranthera
Eucalyptus_neutra_284,Eucalyptus_neutra,Eucalyptus_neutra
Eucalyptus_urna_270,Eucalyptus_urna,Eucalyptus_urna
Eucalyptus_hypolaena_525,Eucalyptus_hypolaena,Eucalyptus_hypolaena
Eucalyptus_indurata_81,Eucalyptus_indurata,Eucalyptus_indurata
Eucalyptus_wyolensis_699,Eucalyptus_wyolensis,Eucalyptus_wyolensis
Eucalyptus_vokesensis_453,Eucalyptus_vokesensis,Eucalyptus_vokesensis
Eucalyptus_gillii_459,Eucalyptus_gillii,Eucalyptus_gillii
Eucalyptus_socialis_subsp_socialis_276,Eucalyptus_socialis_socialis,Eucalyptus_socialis
Eucalyptus_eremicola_subsp_eremicola_542,Eucalyptus_eremicola_eremicola,Eucalyptus_eremicola
Eucalyptus_cooperiana_293,Eucalyptus_cooperiana,Eucalyptus_cooperiana
Eucalyptus_yalatensis_460,Eucalyptus_yalatensis,Eucalyptus_yalatensis
Eucalyptus_flocktoniae_subsp_flocktoniae_288,Eucalyptus_flocktoniae_flocktoniae,Eucalyptus_flocktoniae
Eucalyptus_optima_708,Eucalyptus_optima,Eucalyptus_optima
Eucalyptus_yumbarrana_262,Eucalyptus_yumbarrana,Eucalyptus_yumbarrana
Eucalyptus_kumarlensis_587,Eucalyptus_kumarlensis,Eucalyptus_kumarlensis
Eucalyptus_dissimulata_89,Eucalyptus_dissimulata,Eucalyptus_dissimulata
